Total Population,Male Population,Female Population,Median Age,Population 25+ (Total),Bachelor's Degree,Master's Degree,Professional Degree,Doctorate Degree,Median Household Income,Per Capita Income,Individuals Below Poverty,Civilian Labor Force,Unemployed Persons,Median Home Value,Total Housing Units,Occupied Housing Units (Total),Owner-Occupied Housing Units,Renter-Occupied Housing Units,Total Noninstitutionalized Population (16+),Population With Any Disability,Population With Hearing Difficulty,Population With Vision Difficulty,state,state_abbrev,Male (%) of Population,Female (%) of Population,(%) of Population 25+,(%) with Bachelor's Degree,(%) with Master's Degree,(%) with Doctorate Degree,(%) with Professional Degree,Bachelors+ (%),(%) of Population below Poverty,(%) of Unemployed Persons,Employed Persons,Employment Rate,Home Ownership Rate (%),Renting Rate (%),Disability Rate (%)
5054253,2453419,2600834,39.3,3448302,584986,269176,58744,44175,62027,34835,768185,2342761,112849,195100,1969105,1969105,1377062,592043,4969866,2394520,150157,915,1,AL,48.54,51.46,68.23,16.96,7.81,1.28,1.7,27.76,22.28,3.27,3335453,142.37,69.93,30.07,47.37633830360293
733971,385319,348652,35.6,487903,95793,41004,9294,6341,89336,44928,72978,358896,20644,333300,267865,267865,178369,89496,704133,360244,24436,147,2,AK,52.5,47.5,66.47,19.63,8.4,1.3,1.9,31.24,14.96,4.23,467259,130.19,66.59,33.41,49.081503220154474
7268175,3628694,3639481,38.8,4990633,999535,454564,99314,74049,76872,40736,907125,3522511,182184,358900,2796790,2796790,1873231,923559,7154961,3538403,203918,1687,4,AZ,49.93,50.07,68.66,20.03,9.11,1.48,1.99,32.61,18.18,3.65,4808449,136.51,66.98,33.02,48.68351408709889
3032651,1495958,1536693,38.4,2043779,324625,137592,29944,21060,58773,33147,471783,1399009,71269,175300,1189160,1189160,786534,402626,2977706,1457529,93143,823,5,AR,49.33,50.67,67.39,15.88,6.73,1.03,1.47,25.11,23.08,3.49,1972510,140.99,66.14,33.86,48.06121772666885
39242785,19605882,19636903,37.6,26941198,6035609,2587003,703157,508592,96334,47977,4610600,19982482,1282259,695400,13434847,13434847,7494811,5940036,38761738,19237525,1132401,8910,6,CA,49.96,50.04,68.65,22.4,9.6,1.89,2.61,36.5,17.11,4.76,25658939,128.41,55.79,44.21,49.02181381876949
5810774,2942568,2868206,37.5,4038534,1117774,505200,103260,80121,92470,50489,534188,3195037,143373,502200,2325576,2325576,1542215,783361,5713803,2867844,161034,1206,8,CO,50.64,49.36,69.5,27.68,12.51,1.98,2.56,44.73,13.23,3.55,3895161,121.91,66.32,33.68,49.35390706986711
3598348,1765117,1833231,41.2,2532853,581935,348926,82933,48609,93760,54409,351948,1945293,109838,343200,1420170,1420170,939912,480258,3555703,1738476,92968,687,9,CT,49.05,50.95,70.39,22.98,13.78,1.92,3.27,41.94,13.9,4.34,2423015,124.56,66.18,33.82,48.313170377073035
1005872,487585,518287,41.5,710442,144339,77430,14283,14574,82855,44219,105246,507368,25640,326800,396209,396209,286340,109869,992298,478050,27732,223,10,DE,48.47,51.53,70.63,20.32,10.9,2.05,2.01,35.28,14.81,3.61,684802,134.97,72.27,27.73,47.52592775223886
672079,320001,352078,34.9,484406,126307,109725,49738,22136,106287,75253,94140,397158,25748,724600,321556,321556,132288,189268,663014,313453,20900,224,11,DC,47.61,52.39,72.08,26.07,22.65,4.57,10.27,63.56,19.43,5.32,458658,115.49,41.14,58.86,46.63930877173665
21928881,10773620,11155261,42.6,15850299,3285363,1377572,385231,215765,71711,41055,2707698,10725531,516132,325000,8550911,8550911,5756809,2794102,21591588,10532403,569515,3774,12,FL,49.13,50.87,72.28,20.73,8.69,1.36,2.43,33.21,17.08,3.26,15334167,142.97,67.32,32.68,48.02982423042927
10822590,5281762,5540828,37.4,7253060,1503574,696210,168691,112432,74664,39525,1423159,5407819,276950,272900,4008013,4008013,2619529,1388484,10627519,5131185,327550,2197,13,GA,48.8,51.2,67.02,20.73,9.6,1.55,2.33,34.2,19.62,3.82,6976110,129.0,65.36,34.64,47.41180253525265
1445635,727473,718162,40.6,1027351,230641,89317,27515,16925,98317,44823,140461,703472,35378,808200,488991,488991,305869,183122,1386108,679460,42350,207,15,HI,50.32,49.68,71.07,22.45,8.69,1.65,2.68,35.47,13.67,3.44,991973,141.01,62.55,37.45,47.00079895685979
1893296,952080,941216,37.1,1244319,258838,91217,21392,16585,74636,37169,196060,930589,34229,376000,693821,693821,502140,191681,1866785,934050,57953,386,16,ID,50.29,49.71,65.72,20.8,7.33,1.33,1.72,31.18,15.76,2.75,1210090,130.03,72.37,27.63,49.334599555484196
12692653,6270399,6422254,38.9,8738607,1949199,952141,214504,133650,81702,45104,1454217,6638033,384790,250500,5001904,5001904,3343034,1658870,12522498,6158033,362371,2178,17,IL,49.4,50.6,68.85,22.31,10.9,1.53,2.45,37.19,16.64,4.4,8353817,125.85,66.84,33.16,48.51651581430612
6811752,3377011,3434741,38.0,4559304,835437,351821,70656,55172,70051,37178,807582,3451448,148579,201600,2681537,2681537,1886485,795052,6714911,3316037,211427,1859,18,IN,49.58,50.42,66.93,18.32,7.72,1.21,1.55,28.8,17.71,3.26,4410725,127.79,70.35,29.65,48.681117574450745
3195937,1601453,1594484,38.6,2140476,441400,154288,36061,28870,73147,39728,340362,1691052,61411,195900,1303763,1303763,932618,371145,3149616,1575754,96761,699,19,IA,50.11,49.89,66.97,20.62,7.21,1.35,1.68,30.86,15.9,2.87,2079065,122.95,71.53,28.47,49.30491433341771
2937569,1473655,1463914,37.2,1933293,425528,188358,38098,27680,72639,39638,328475,1513914,59154,203400,1160715,1160715,776311,384404,2875799,1429687,92412,763,20,KS,50.17,49.83,65.81,22.01,9.74,1.43,1.97,35.16,16.99,3.06,1874139,123.79,66.88,33.12,48.669052539702044
4510725,2233870,2276855,39.1,3078157,489842,245008,60045,35961,62417,34960,707480,2136157,103267,192300,1791991,1791991,1223574,568417,4429333,2177634,137243,1200,21,KY,49.52,50.48,68.24,15.91,7.96,1.17,1.95,26.99,22.98,3.35,2974890,139.26,68.28,31.72,48.27680694345144
4621025,2262822,2358203,37.8,3110254,521668,210724,57559,35843,60023,34211,848769,2148961,135734,208700,1783168,1783168,1200407,582761,4523071,2185543,147818,1367,22,LA,48.97,51.03,67.31,16.77,6.78,1.15,1.85,26.55,27.29,4.36,2974520,138.42,67.32,32.68,47.295632462494794
